DFB Year,Management Area,Region,Region Desc,Species Code,Species Name,Landed Weight (lbs),Whole Weight (lbs),Number Of Fish (estimated),Confidentiality Processor Count (Informational),Confidentiality Permit Count (Informational),Confidentiality Vessel Count (Informational)
1985,A,1,Southeastern Region,410,"salmon, chinook",939049,939049,64123,51,1154,1044
1985,A,1,Southeastern Region,420,"salmon, sockeye",4383880,4383880,669776,56,1159,1028
1985,A,1,Southeastern Region,430,"salmon, coho",7455153,7455153,855866,67,1529,1402
1985,A,1,Southeastern Region,440,"salmon, pink",24560693,24560693,8068192,42,1296,1177
1985,A,1,Southeastern Region,450,"salmon, chum",10742626,10742626,1121229,53,1366,1260
1985,B,1,Southeastern Region,410,"salmon, chinook",949680,949680,57273,41,838,812
1985,B,1,Southeastern Region,420,"salmon, sockeye",4973842,4973842,845106,41,786,749
1985,B,1,Southeastern Region,430,"salmon, coho",6222278,6222278,827450,46,1034,992
1985,B,1,Southeastern Region,440,"salmon, pink",89248578,89248578,27547684,46,949,916
1985,B,1,Southeastern Region,450,"salmon, chum",11306961,11306961,1262381,44,913,868
1985,C,1,Southeastern Region,410,"salmon, chinook",436125,436125,35457,41,626,619
1985,C,1,Southeastern Region,420,"salmon, sockeye",1893226,1893226,305466,32,430,433
1985,C,1,Southeastern Region,430,"salmon, coho",1510965,1510965,193374,35,676,677
1985,C,1,Southeastern Region,440,"salmon, pink",26998291,26998291,8723321,33,598,603
1985,C,1,Southeastern Region,450,"salmon, chum",2353512,2353512,275541,34,519,524
1985,D,1,Southeastern Region,410,"salmon, chinook",1727943,1727943,98770,45,987,992
1985,D,1,Southeastern Region,420,"salmon, sockeye",202873,202873,32417,36,756,754
1985,D,1,Southeastern Region,430,"salmon, coho",5166367,5166367,717443,41,1069,1081
1985,D,1,Southeastern Region,440,"salmon, pink",22831801,22831801,7094502,46,1032,1041
1985,D,1,Southeastern Region,450,"salmon, chum",5132857,5132857,614527,42,1013,1016
1985,E,2,Central Region,410,"salmon, chinook",1198057,1198057,43529,31,629,692
1985,E,2,Central Region,420,"salmon, sockeye",8752895,8752895,1450171,42,821,932
1985,E,2,Central Region,430,"salmon, coho",10415128,10415128,1024553,32,703,761
1985,E,2,Central Region,440,"salmon, pink",88273975,88273975,25129419,37,731,799
1985,E,2,Central Region,450,"salmon, chum",10826793,10826793,1297472,40,750,817
1985,H,2,Central Region,410,"salmon, chinook",694828,694828,25097,36,1036,574
1985,H,2,Central Region,420,"salmon, sockeye",24232766,24232766,4338826,43,1266,884
1985,H,2,Central Region,430,"salmon, coho",4897687,4897687,676706,41,1240,819
1985,H,2,Central Region,440,"salmon, pink",4590112,4590112,1317545,33,1238,813
1985,H,2,Central Region,450,"salmon, chum",6129973,6129973,803487,40,1098,792
1985,K,4,Westward Region,410,"salmon, chinook",96106,96106,4970,17,328,230
1985,K,4,Westward Region,420,"salmon, sockeye",8734723,8734723,1842731,19,456,297
1985,K,4,Westward Region,430,"salmon, coho",2519566,2519566,284166,16,439,272
1985,K,4,Westward Region,440,"salmon, pink",26764307,26764307,7334825,18,463,303
1985,K,4,Westward Region,450,"salmon, chum",3399190,3399190,430757,17,460,295
1985,L,4,Westward Region,410,"salmon, chinook",44625,44625,1877,7,94,101
1985,L,4,Westward Region,420,"salmon, sockeye",5415817,5415817,916627,10,103,117
