Source,Year,Region,Species,avg_wt
ADFG,1985,CI,Chum,3.4605538110759726
ADFG,1986,CI,Chum,3.385153115615921
ADFG,1987,CI,Chum,3.3887818851986196
ADFG,1988,CI,Chum,3.7270578474124956
ADFG,1989,CI,Chum,3.3268726402859037
ADFG,1990,CI,Chum,3.2303002473015363
ADFG,1991,CI,Chum,3.0088889908226824
ADFG,1992,CI,Chum,3.1302612750005037
ADFG,1993,CI,Chum,2.599807634332965
ADFG,1994,CI,Chum,3.1239932212727477
ADFG,1995,CI,Chum,3.2570983244577216
ADFG,1996,CI,Chum,3.4591548621745787
ADFG,1997,CI,Chum,3.325456049299679
ADFG,1998,CI,Chum,3.2991579258383807
ADFG,1999,CI,Chum,3.618803854475649
ADFG,2000,CI,Chum,3.753953875532488
ADFG,2001,CI,Chum,3.706976130818937
ADFG,2002,CI,Chum,3.5868612781941764
ADFG,2003,CI,Chum,3.1564894431473784
ADFG,2004,CI,Chum,3.5671687394615637
ADFG,2005,CI,Chum,3.6388559924206536
ADFG,2006,CI,Chum,3.615835734238121
ADFG,2007,CI,Chum,3.3113333501272137
ADFG,2008,CI,Chum,3.647227153493548
ADFG,2009,CI,Chum,3.4100960222970262
ADFG,2010,CI,Chum,3.2818072255733886
ADFG,2011,CI,Chum,3.025400590539021
ADFG,2012,CI,Chum,3.6633160913215206
ADFG,2013,CI,Chum,3.3710706044986662
ADFG,2014,CI,Chum,3.338822603907172
ADFG,2015,CI,Chum,2.9791364658515223
ADFG,1985,CI,Pink,1.580242041068806
ADFG,1986,CI,Pink,1.6149682649930286
ADFG,1987,CI,Pink,1.5841966411427837
ADFG,1988,CI,Pink,1.4853553637534058
ADFG,1989,CI,Pink,1.4009123051275945
ADFG,1990,CI,Pink,1.4268008542153339
ADFG,1991,CI,Pink,1.1928135959764106
ADFG,1992,CI,Pink,1.6259467788472577
ADFG,1993,CI,Pink,1.2491165055365654
ADFG,1994,CI,Pink,1.459061098672777
ADFG,1995,CI,Pink,1.327885816761978
ADFG,1996,CI,Pink,1.4164573044883035
ADFG,1997,CI,Pink,1.3983262157011627
ADFG,1998,CI,Pink,1.4971894691617338
ADFG,1999,CI,Pink,1.143382035099853
ADFG,2000,CI,Pink,1.1945927340269389
ADFG,2001,CI,Pink,1.4158966489590121
ADFG,2002,CI,Pink,1.568816670059519
ADFG,2003,CI,Pink,1.4745693349496947
ADFG,2004,CI,Pink,1.5892352614344316
ADFG,2005,CI,Pink,1.5441636561997223
ADFG,2006,CI,Pink,1.6881127287725015
ADFG,2007,CI,Pink,1.5188210995036548
ADFG,2008,CI,Pink,1.643298352422803
ADFG,2009,CI,Pink,1.4143488322465523
ADFG,2010,CI,Pink,1.7900723326988974
ADFG,2011,CI,Pink,1.3178351256287741
ADFG,2012,CI,Pink,1.620745230918172
ADFG,2013,CI,Pink,1.3979117600074888
ADFG,2014,CI,Pink,1.6396890149010055
ADFG,2015,CI,Pink,1.4273541133735246
ADFG,1985,CI,Sockeye,2.533358101938174
ADFG,1986,CI,Sockeye,2.587062381750322
ADFG,1987,CI,Sockeye,3.02996211709999
ADFG,1988,CI,Sockeye,2.964687574146185
ADFG,1989,CI,Sockeye,2.96446769434448
ADFG,1990,CI,Sockeye,2.8491864808101837
ADFG,1991,CI,Sockeye,2.4681235892019147
ADFG,1992,CI,Sockeye,2.9688743497659686
ADFG,1993,CI,Sockeye,2.6353681599466965
ADFG,1994,CI,Sockeye,2.5577121549189936
ADFG,1995,CI,Sockeye,2.5219531029786646
ADFG,1996,CI,Sockeye,2.802310641190132
ADFG,1997,CI,Sockeye,2.917712640366487
ADFG,1998,CI,Sockeye,2.4003707565138575
ADFG,1999,CI,Sockeye,2.5016426130930114
ADFG,2000,CI,Sockeye,2.796027540563891
ADFG,2001,CI,Sockeye,2.6719427622582534
ADFG,2002,CI,Sockeye,2.8600720555165995
ADFG,2003,CI,Sockeye,2.6141408077209105
ADFG,2004,CI,Sockeye,2.7370557910883746
ADFG,2005,CI,Sockeye,2.7142810779036175
