Source,Year,Region,Species,avg_wt
NPAFC,1952,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1953,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1954,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1955,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1956,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1957,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1958,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1959,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1960,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1961,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1962,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1963,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1964,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1965,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1966,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1967,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1968,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1969,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1970,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1971,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1972,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1973,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1974,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1975,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1976,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1977,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1978,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1979,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1980,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1981,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1982,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1983,Arctic Yukon Kuskokwim,Chum,NA
NPAFC,1984,Arctic Yukon Kuskokwim,Chum,NA
