Source,Year,Region,Species,avg_wt
R&I,1952,WAK,Pink,1.5683659768754354
R&I,1953,WAK,Pink,1.5829932799999997
R&I,1954,WAK,Pink,1.5756646518916497
R&I,1955,WAK,Pink,1.5829861971830983
R&I,1956,WAK,Pink,1.5471246308281388
R&I,1957,WAK,Pink,1.5826276205450731
R&I,1958,WAK,Pink,1.5522454864427464
R&I,1959,WAK,Pink,1.5823248958667093
R&I,1960,WAK,Pink,1.7729684233689071
R&I,1961,WAK,Pink,1.8379569044604342
R&I,1962,WAK,Pink,1.3841831619983518
R&I,1963,WAK,Pink,1.3893214585324933
R&I,1964,WAK,Pink,1.3635199542594474
R&I,1965,WAK,Pink,1.4065934426229507
R&I,1966,WAK,Pink,1.4141033626390884
R&I,1967,WAK,Pink,1.594900600778692
R&I,1968,WAK,Pink,1.4779401657352969
R&I,1969,WAK,Pink,1.86273197163479
R&I,1970,WAK,Pink,1.6341726937461722
R&I,1971,WAK,Pink,1.5283382478082763
R&I,1972,WAK,Pink,1.4819922481934107
R&I,1973,WAK,Pink,1.5151159074318856
R&I,1974,WAK,Pink,1.8395174265510301
R&I,1975,WAK,Pink,1.3211115580199384
R&I,1976,WAK,Pink,1.5525299836215083
R&I,1977,WAK,Pink,1.6448266806811433
R&I,1978,WAK,Pink,1.4796823165596196
R&I,1979,WAK,Pink,1.6414528912318653
R&I,1980,WAK,Pink,1.4887911753826035
R&I,1981,WAK,Pink,1.534743289051304
R&I,1982,WAK,Pink,1.4589337413514138
R&I,1983,WAK,Pink,1.6243683383329348
R&I,1984,WAK,Pink,1.517169993037996
R&I,1985,WAK,Pink,1.7276793337442606
R&I,1986,WAK,Pink,1.6280790180151303
R&I,1987,WAK,Pink,1.6274319076568733
R&I,1988,WAK,Pink,1.673089271945496
R&I,1989,WAK,Pink,1.5338411591675423
R&I,1990,WAK,Pink,1.417362410714032
R&I,1991,WAK,Pink,1.360576586254408
R&I,1992,WAK,Pink,1.5724244996977466
R&I,1993,WAK,Pink,1.4430178939552638
R&I,1994,WAK,Pink,1.611316442586587
R&I,1995,WAK,Pink,1.6038373273067976
R&I,1996,WAK,Pink,1.5256060645104568
R&I,1997,WAK,Pink,1.510397437150553
R&I,1998,WAK,Pink,1.6538933553403488
R&I,1999,WAK,Pink,1.3798803319398911
R&I,2000,WAK,Pink,1.4298521784319975
R&I,2001,WAK,Pink,1.5734378292297306
R&I,2002,WAK,Pink,1.6678345739646423
R&I,2003,WAK,Pink,1.6426965148957435
R&I,2004,WAK,Pink,1.6133244683119312
R&I,2005,WAK,Pink,1.525007201394235
R&I,2006,WAK,Pink,1.6598631754129347
R&I,2007,WAK,Pink,1.6510224701657874
R&I,2008,WAK,Pink,1.597050379452578
R&I,2009,WAK,Pink,1.490252631461448
R&I,2010,WAK,Pink,1.6151708151998383
R&I,2011,WAK,Pink,1.463962612505188
R&I,2012,WAK,Pink,1.6150799745541555
R&I,2013,WAK,Pink,1.4275951670749967
R&I,2014,WAK,Pink,1.4441525548256802
R&I,2015,WAK,Pink,1.593833898910479
R&I,1952,SPen,Pink,1.616267452062497
R&I,1953,SPen,Pink,1.613036188737087
R&I,1954,SPen,Pink,1.5915732523731814
R&I,1955,SPen,Pink,1.5916679674940928
R&I,1956,SPen,Pink,1.6327224396631197
R&I,1957,SPen,Pink,1.6022830387722216
R&I,1958,SPen,Pink,1.6413852649173695
R&I,1959,SPen,Pink,1.5915114153801202
R&I,1960,SPen,Pink,1.4718382235821823
R&I,1961,SPen,Pink,2.029644474678797
R&I,1962,SPen,Pink,1.3673223291505563
R&I,1963,SPen,Pink,1.7201736306327784
R&I,1964,SPen,Pink,1.547075072424684
R&I,1965,SPen,Pink,1.5538929989381962
R&I,1966,SPen,Pink,1.7277296051820927
R&I,1967,SPen,Pink,1.9703735442022206
R&I,1968,SPen,Pink,1.5202500657353473
R&I,1969,SPen,Pink,1.881750479015027
R&I,1970,SPen,Pink,1.6841944472692951
R&I,1971,SPen,Pink,1.6641715795492855
R&I,1972,SPen,Pink,1.9556638426556812
R&I,1973,SPen,Pink,1.7827023281982999
R&I,1974,SPen,Pink,1.9360083474542487
R&I,1975,SPen,Pink,1.9117772073703727
R&I,1976,SPen,Pink,1.8652973629115228
